study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_comprehension_vocab,mean_production_vocab,N_AFC,object_stimulus,data_source,ME_trial_type,N_Langs,d_notes,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000364",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,exclusivity,behavior,conditioning,FC,target_selection,within_one,71,"British English, others",bilingual,younger,,13,,1461,,0.8,0.5,0.31,,3.631,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000365",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,exclusivity,behavior,conditioning,FC,target_selection,within_one,72,"British English, others",bilingual,older,,12,,1796,,0.71,0.5,0.32,,2.278,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000366",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,overlap,behavior,conditioning,FC,target_selection,within_one,73,"British English, others",bilingual,younger,,13,,1461,,0.73,0.5,0.28,,2.984,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000367",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,overlap,behavior,conditioning,FC,target_selection,within_one,74,"British English, others",bilingual,older,,12,,1796,,0.94,0.5,0.11,,13.404,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000368",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,exclusivity,behavior,conditioning,FC,target_selection,within_one,75,British English,typical,younger,,25,,1461,,0.66,0.5,0.33,,2.343,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000369",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,exclusivity,behavior,conditioning,FC,target_selection,within_one,76,British English,typical,older,,24,,1796,,0.93,0.5,0.16,,13.41,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000370",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,overlap,behavior,conditioning,FC,target_selection,within_one,77,British English,typical,younger,,25,,1461,,0.76,0.5,0.27,,4.714,,,,,,,,,,,,2,,,,object,paper,FN,,
Kalashnikova2015,"Kalashnikova, M., Mattock, K. & Monaghan, P. (2015). The effects of linguistic experience on the flexible use of mutual exclusivity in word learning. Bilingualism: Language and Cognition, 18(4), 626-638. doi:10.1017/S1366728914000371",Kalashnikova et al. (2015),yes,not standard,Alvaro Iturralde,1,overlap,behavior,conditioning,FC,target_selection,within_one,78,British English,typical,older,,24,,1796,,0.86,0.5,0.18,,9.908,,,,,,,,,,,,2,,,,object,paper,FN,,
Casler2014,"Casler, K. (2014), New Tool, New Function? Toddlers' Use of Mutual Exclusivity When Mapping Information to Objects. Infancy, 19: 162–178. doi:10.1111/infa.12044",Casler (2014),yes,not standard,Alvaro Iturralde,1,experimental,behavior,test_only,FC,target_selection,within_one,79,American English,typical,experimental,,19,,749,,0.625,0.5,,,-2.72,,0.63,,,,37,,,,0.578,,4,,,,digital,paper,FN,,
Suanda2013b,"Suanda, S. H., & Namy, L.L. (2013). The Organization of Words and Symbolic Gestures in 18-Month-Olds’ Lexicons: Evidence From a Disambiguation Task. Infancy. 18(2), 276-288.",Suanda & Namy (2013),yes,gesture,Alvaro Iturralde,1,gesture,behavior,familiarization,FC,target_selection,within_two,70,American English,typical,experimental,,32,,560,,0.4,0.54,0.04,0.04,-2.46,,,,,,65,,11,,0.5,,6,,,,toys,paper,FN,,
Hyde2016,"Hyde, Grace (2016) Using a Fast Mapping Approach to Investigate Children’s Learning about Artefacts. PhD thesis, University of Essex.",Hyde (2015),no,action,Alvaro Iturralde,1,verbal,behavior,test_only,FC,target_selection,within_one,63,British English,typical,verbal,,45,,1766,,0.88,,,,,,,,,,365,,,,0.62,,1,,,,object,paper,FN,,
Hilton2016,"Hilton, M. & Westermann, G. (2016).The effect of shyness on children's formation and retention of novel word–object mappings*. Journal of Child Language, Cambridge University Press.",Hilton & Westermann (2016),yes,Alvaro Iturralde,1,experimental,behavior,familiarization,FC,target_selection,within_one,62,British English,typical,experimental,,32,,739,,0.59,,0.32,,4.6,,0.81,,,,40,,9,,0.5,,7,,,N_AFC-3,toys,paper,NNF,,,
