study_ID,short_cite,long_cite,peer_reviewed,coder,expt_num,response_mode,dependent_measure,native_lang,infant_type,infant_type2,group_name_1,n_1,mean_age_1,same_infant,x_1,x_2,SD_1,t,F,d,d_var,age_range_1,age_range_2,n_excluded_1,gender_1,num_trials,object_stimulus,N_AFC,mean_comprehension_vocab,mean_production_vocab,ME_trial_type,lab_group,data_source,expt_condition,exposure_phase,method,participant_design,group_name_2,n_2,mean_age_2,SD_2,r,corr,n_excluded_2,gender_2,N_Langs,d_notes,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method
allen2010,Allen & Scofield (2010),"Allen, R., & Scofield, J. (2010). Word learning form videos: More evidence from 2-year-olds. Infant and Child Development, 19, 649-661.",yes,Molly Lewis,2,behavior,target_selection,NA,typical,typical,experimental,32,1004.417,6,0.76,0.5,NA,6.25,NA,NA,NA,NA,NA,NA,NA,4,digital,N_AFC-2,NA,NA,NN,scofield,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1048543456039803,0.05032348632812499,1.0772329869638808,0.047838764190673816,0.48354904432138285,0.0056585311368886615,0.5276060850648907,0.034482758620689655,2.0039841096279125,0.16555763404740753,t_one
bedford2013,Beford et al (2013),"Bedford, R., Gliga, T., Frame, K., Hudry, K., Chandler, S., Johnson, M. H., ... & BASIS TEAM. (2013). Failure to learn from feedback underlies word learning difficulties in toddlers at risk for autism. Journal of Child Language, 40(1), 29-46.",yes,Molly Lewis,1,behavior,target_selection,NA,NT,ASD,ASD- high risk,31,748.7471,7,NA,NA,NA,3.88,NA,NA,NA,NA,NA,NA,NA,4,objects,N_AFC-3,335.2,NA,FN,charman,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6968685718638866,0.04009073881373569,0.6788461087984413,0.038043894464372105,0.3290329247153258,0.007107140768280031,0.34174338241043933,0.03571428571428571,1.263979772601525,0.13189324407965658,t_one
bedford2013,Beford et al (2013),"Bedford, R., Gliga, T., Frame, K., Hudry, K., Chandler, S., Johnson, M. H., ... & BASIS TEAM. (2013). Failure to learn from feedback underlies word learning difficulties in toddlers at risk for autism. Journal of Child Language, 40(1), 29-46.",yes,Molly Lewis,1,behavior,target_selection,NA,typical,typical,typical,31,739.6161,8,NA,NA,NA,3.41,NA,NA,NA,NA,NA,NA,NA,4,objects,N_AFC-3,449,NA,FN,charman,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6124540799113025,0.03830806451612903,0.596614750258424,0.036352235122358176,0.29280570895358704,0.007318907205530274,0.3016323325209914,0.03571428571428571,1.1108688207657735,0.1260284807152007,t_one
beverly2003,Beverly & Estis (2003),"Beverly, B. L; Estis, J. M. Journal of Speech-Language Pathology and Audiology.Vol. 27, Iss. 3, (October 2003): 163-171.",yes,Molly Lewis,1,behavior,target_selection,NA,NT,SLI,experimental,5,1765.339,9,0.65,0.5,0.058,NA,NA,NA,NA,NA,NA,NA,NA,10,objects,N_AFC-2,NA,NA,FN,estis,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.586206896551724,0.86884661117717,1.9396551724137931,0.4887262187871581,0.7910529841125553,0.011384578088018567,1.074239138917036,0.5,4.690860424743667,2.858390779181924,group_means_one
beverly2003,Beverly & Estis (2003),"Beverly, B. L; Estis, J. M. Journal of Speech-Language Pathology and Audiology.Vol. 27, Iss. 3, (October 2003): 163-171.",yes,Molly Lewis,1,behavior,target_selection,NA,typical,typical,experimental,5,1795.776,10,0.95,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,10,objects,N_AFC-2,NA,NA,FN,estis,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.499999999999999,2.2249999999999996,3.374999999999999,1.2515625,0.913811548620257,0.0024964034215978798,1.5501579568690615,0.5,8.162097139053978,7.319956597474605,group_means_one
beverly2003,Beverly & Estis (2003),"Beverly, B. L; Estis, J. M. Journal of Speech-Language Pathology and Audiology.Vol. 27, Iss. 3, (October 2003): 163-171.",yes,Molly Lewis,1,behavior,target_selection,NA,typical,typical,experimental,5,1217.475,11,0.9,0.5,0.082,NA,NA,NA,NA,NA,NA,NA,NA,10,objects,N_AFC-2,NA,NA,FN,estis,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.878048780487805,2.5795359904818564,3.6585365853658534,1.4509889946460444,0.9252519052083995,0.0019219614338833498,1.6243441869004045,0.5,8.847801776752283,8.486333254809376,group_means_one
bion2013,"Bion, Borovsky, & Fernald (2013)","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordäóñobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.",yes,"Molly Lewis, Michael Frank",2,eye-tracking,target_selection,American English,typical,typical,experimental,20,912.6,12,0.68,0.5,0.14,5.9,NA,1.319280107,0.12175625,30.42,NA,5,NA,8,digital,N_AFC-2,NA,534,FN,fernald,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.285714285714286,0.09132653061224491,1.2321428571428574,0.08387453939909299,0.5407575913134988,0.00808846061573639,0.6052256613513132,0.058823529411764705,2.3320277540154235,0.3004522428222781,group_means_one
bion2013,"Bion, Borovsky, & Fernald (2013)","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordäóñobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.",yes,"Molly Lewis, Michael Frank",2,eye-tracking,target_selection,American English,typical,typical,experimental,22,547.56,13,0.52,0.5,0.14,0.59,NA,0.125788423,0.091088895,15.21,NA,10,NA,8,digital,N_AFC-2,NA,NA,FN,fernald,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14285714285714296,0.04591836734693878,0.1375000000000001,0.04253906250000001,0.07124704998790969,0.011305661607353888,0.07136797187621145,0.05263157894736842,0.2591141948906027,0.1510653734860616,group_means_one
bion2013,"Bion, Borovsky, & Fernald (2013)","Bion, R. A., Borovsky, A., & Fernald, A. (2013). Fast mapping, slow learning: Disambiguation of novel wordäóñobject mappings in relation to vocabulary learning at 18, 24, and 30months. Cognition, 126(1), 39-53.",yes,"Molly Lewis, Michael Frank",2,eye-tracking,target_selection,American English,typical,typical,experimental,25,730.08,14,0.65,0.5,0.13,5.34,NA,1.068,0.09140624,45.63,NA,8,NA,8,digital,N_AFC-2,NA,NA,FN,fernald,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.153846153846154,0.06662721893491125,1.1162207357859533,0.062352812049082225,0.4997224534895773,0.007034891594216541,0.5489361507635542,0.045454545454545456,2.0928454202702516,0.21919476441078142,group_means_one
byers2009,Byers-Heinlein & Werker (2009),"ByersäóHeinlein, K., & Werker, J. F. (2009). Monolingual, bilingual, trilingual: infants' language experience influences the development of a wordäólearning heuristic. Developmental science, 12(5), 815-823.",yes,Molly Lewis,1,eye-tracking,looking_time_change,Canadian English - others,multilingual,bilingual,experimental,16,517.42696,82,0.08,0,0.19,1.69,NA,NA,NA,NA,NA,NA,NA,6,digital,N_AFC-2,156,35,FN,byers-heinlein,paper,experimental,test_only,FC,within_one,NA,NA,NA,NA,NA,NA,NA,NA,NA,proportion increased looking to target above baseline,0.42105263157894735,0.06804016620498615,0.39849624060150374,0.06094541673144327,0.2060104810498419,0.014934920996230252,0.2090014035792237,0.07692307692307693,0.7637049954670391,0.22384317460919423,group_means_one
