Event,Version,Platform,Params,
Create Subject,16,iPad,{ Subject ID : 10261601},
Switch Subject,16,iPad,{ User ID : 10261601;  Subject ID : 10261601},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:31:22:245 PM;  Stage ID : 8770721384773104253;  Subject ID : 10261601;  Start Time : 26-Oct 15:31:22:243 PM;  End Time : 26-Oct 15:31:24:580 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:31:24:709 PM;  Responsive Start Time : 26-Oct 15:31:26:392 PM;  Correct First Try? : Y;  Object : spoon;  Stage ID : -2343738094518740090;  End Time : 26-Oct 15:31:29:409 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/familiar/spoon/spoon_x_x@2x.png;  Stage ID : -2343738094518740090},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:28:247 PM;  Object : Background;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -2343738094518740090},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:28:375 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -2343738094518740090},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:31:29:455 PM;  Responsive Start Time : 26-Oct 15:31:31:243 PM;  Correct First Try? : Y;  Object : banana;  Trial Type : FF;  Stage ID : 7067039173848725385;  End Time : 26-Oct 15:31:32:293 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/familiar/spoon/spoon_x_x@2x.png;  Stage ID : 7067039173848725385},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/familiar/banana/banana_x_x@2x.png;  Stage ID : 7067039173848725385},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:32:292 PM;  Object : Choice 2;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 7067039173848725385},
Session,16,iPad,{ Stage Type : Bubble Playtime;  Subject ID : 10261601;  Start Time : 26-Oct 15:31:32:410 PM;  Responsive Start Time : 26-Oct 15:31:33:818 PM;  Object : banana;  Stage ID : -5854003446853161094;  End Time : 26-Oct 15:31:51:360 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Playtime Object;  Object 1 : Objects/familiar/banana/banana_x_x@2x.png;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:36:052 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
