"SubjectID","age","vocab_acc","ME_acc","vocab_count","ME_count"
"11161601","3.0","85.0","73.333333333333329","20","15"
"11161602","3.69","55.000000000000007","52.631578947368418","20","19"
"11161603","3.34","80.0","84.210526315789465","20","19"
"11161605","2.28","55.000000000000007","73.68421052631578","20","19"
"1191601","2.07","40.0","52.631578947368418","20","19"
"1191603","2.45","75.0","63.157894736842103","20","19"
"1191604","3.05","80.0","94.73684210526315","20","19"
"1261601","3.71","65.0","89.473684210526315","20","19"
"1261602","2.38","50.0","57.894736842105267","20","19"
"1261603","3.64","75.0","100.0","20","19"
"1261604","2.5","70.0","78.94736842105263","20","19"
"1261605","3.4","60.0","84.210526315789465","20","19"
"1261607","3.98","76.19047619047619","89.473684210526315","21","19"
"1281602","3.19","70.0","89.473684210526315","20","19"
"1281603","3.61","80.0","100.0","20","19"
"1281604","2.49","85.0","68.421052631578945","20","19"
